Date,EMIM.AS,IUSN.DE,IWDA.AS
2018-04-26,24.777999877929688,4.227499961853027,44.685001373291016
2018-04-27,25.035999298095703,4.23199987411499,44.880001068115234
2018-04-30,25.16900062561035,4.248499870300293,45.07500076293945
2018-05-02,25.070999145507812,4.2829999923706055,45.150001525878906
2018-05-03,24.575000762939453,4.249000072479248,44.58000183105469
2018-05-04,24.957000732421875,4.309500217437744,45.334999084472656
2018-05-07,24.96500015258789,4.347499847412109,45.71500015258789
2018-05-08,25.006000518798828,4.372499942779541,45.7599983215332
2018-05-09,25.075000762939453,4.402500152587891,45.97999954223633
2018-05-10,25.582000732421875,4.422500133514404,46.29999923706055
2018-05-11,25.46500015258789,4.427499771118164,46.380001068115234
2018-05-14,25.5049991607666,4.4105000495910645,46.435001373291016
2018-05-15,25.19499969482422,4.41349983215332,46.404998779296875
2018-05-16,25.61400032043457,4.4604997634887695,46.75
2018-05-17,25.399999618530273,4.488500118255615,46.959999084472656
2018-05-18,25.17099952697754,4.493000030517578,46.83000183105469
2018-05-21,25.26099967956543,4.493000030517578,47.095001220703125
2018-05-22,25.42799949645996,4.521999835968018,47.150001525878906
2018-05-23,25.326000213623047,4.506999969482422,46.939998626708984
2018-05-24,25.1560001373291,4.49399995803833,46.79999923706055
2018-05-25,25.56800079345703,4.5229997634887695,47.084999084472656
2018-05-28,25.58799934387207,4.53249979019165,47.130001068115234
2018-05-29,25.40399932861328,4.519000053405762,46.92499923706055
2018-05-30,25.132999420166016,4.5335001945495605,46.900001525878906
2018-05-31,25.139999389648438,4.521500110626221,46.709999084472656
2018-06-01,25.44099998474121,4.531000137329102,47.029998779296875
2018-06-04,25.672000885009766,4.543000221252441,47.185001373291016
2018-06-05,25.559999465942383,4.54449987411499,47.185001373291016
2018-06-06,25.577999114990234,4.542500019073486,47.130001068115234
2018-06-07,25.347999572753906,4.528500080108643,47.08000183105469
2018-06-08,25.232999801635742,4.542500019073486,47.14500045776367
2018-06-11,25.2189998626709,4.553999900817871,47.28499984741211
2018-06-12,25.253000259399414,4.566999912261963,47.314998626708984
2018-06-13,25.263999938964844,4.569499969482422,47.435001373291016
2018-06-14,25.365999221801758,4.609499931335449,47.8849983215332
2018-06-15,24.905000686645508,4.581500053405762,47.599998474121094
2018-06-18,24.672000885009766,4.594799995422363,47.619998931884766
2018-06-19,24.47100067138672,4.567500114440918,47.400001525878906
2018-06-20,24.69099998474121,4.603499889373779,47.54499816894531
2018-06-21,24.280000686645508,4.573299884796143,47.279998779296875
2018-06-22,24.42099952697754,4.5868000984191895,47.38999938964844
2018-06-25,23.849000930786133,4.46999979019165,46.34000015258789
2018-06-26,23.91699981689453,4.493299961090088,46.529998779296875
2018-06-27,23.84600067138672,4.5279998779296875,46.974998474121094
2018-06-28,23.694000244140625,4.484499931335449,46.68000030517578
2018-06-29,24.017000198364258,4.498499870300293,46.80500030517578
2018-07-02,23.761999130249023,4.467299938201904,46.5099983215332
2018-07-03,23.93000030517578,4.502999782562256,46.7400016784668
2018-07-04,23.759000778198242,4.498000144958496,46.65999984741211
2018-07-05,23.649999618530273,4.475800037384033,46.61000061035156
2018-07-06,23.850000381469727,4.499499797821045,46.845001220703125
2018-07-09,24.15999984741211,4.536799907684326,47.209999084472656
2018-07-10,24.143999099731445,4.547299861907959,47.45500183105469
2018-07-11,23.841999053955078,4.513000011444092,47.099998474121094
2018-07-12,24.191999435424805,4.5254998207092285,47.46500015258789
2018-07-13,24.2549991607666,4.55079984664917,47.68000030517578
2018-07-16,23.989999771118164,4.5229997634887695,47.48500061035156
2018-07-17,24.209999084472656,4.550000190734863,47.6349983215332
2018-07-18,24.222000122070312,4.572999954223633,47.95000076293945
2018-07-19,24.042999267578125,4.582499980926514,48.0
2018-07-20,24.216999053955078,4.549499988555908,47.70000076293945
2018-07-23,24.030000686645508,4.541500091552734,47.619998931884766
2018-07-24,24.47800064086914,4.555500030517578,47.994998931884766
2018-07-25,24.621000289916992,4.547999858856201,48.0099983215332
